what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287744943247
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287744943403
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287744952951
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287744954232
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287744993831
error,log,,,"Unexpected runtime error while computing a text hover",1287744996737
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1287745001050
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1287745004129
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287745006348
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1287745011098
error,log,,,"Unexpected runtime error while computing a text hover",1287745034460
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287745072668
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287745077231
error,log,,,"Unexpected runtime error while computing a text hover",1287745085716
error,log,,,"Unexpected runtime error while computing a text hover",1287745094077
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287745134316
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1287745140285
activated,editor,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1287745140535
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287745145239
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287745164959
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287745167881
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1287745171756
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287745188882
error,log,,,"Unexpected runtime error while computing a text hover",1287745194038
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1287745197679
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1287745200554
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1287745212899
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287745238963
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1287745251667
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1287745270152
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287745295088
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1287745319398
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287745322039
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287745322054
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287745322195
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287745327070
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287745344350
error,log,,,"Unexpected runtime error while computing a text hover",1287745346396
error,log,,,"Unexpected runtime error while computing a text hover",1287745353380
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1287745360474
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1287745374394
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1287745377019
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1287745377207
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1287745377472
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287745391971
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287745395112
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287745413985
error,log,,,"Unexpected runtime error while computing a text hover",1287745417391
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287745432609
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1287745468325
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287745512150
error,log,,,"Unexpected runtime error while computing a text hover",1287745514166
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1287745535758
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287745620864
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1287745632551
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287745640473
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1287745650645
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1287745682316
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287745683722
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1287745684019
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1287745696050
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1287745719737
